track_name,track_id,artists,artists_ids,album_name,album_id,duration_ms,explicit,popularity,popularity_per_artist,followers_per_artist,album_popularity
Que Bueno Baila Usted,1R8upiSmv7U1rRv0qqvIbS,"[""Oscar D'León""]",['1c84wItoiAe1pEbpJMqUmQ'],Oscar D'leon En New York,5S9oty79Nw4pL6gHmE1wvB,216421,False,60,58,1477551,0
Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,['Sam Hunt'],['2kucQ9jQwuD8jWdtR9Ef38'],Montevallo,0V7c0hnrLUFJyHNtjiAT2E,229880,False,70,72,2292278,74
Cachondea,4TedxdAWvmtDCpYY9M6kue,['Fruko Y Sus Tesos'],['5aAlzehdUM14I4ppq24Xob'],14 Cañonazos Bailables 2001,0IgRlR1XQNBtZg8BDuDYVj,297386,False,55,54,307363,0
Cara de Niño,2WOMIZnu99mzeMo13bZq8m,['Jerry Rivera'],['7wOZy3KdFVVINgNFFxkxwO'],Cara De Niño,0QH703ohOGjIj2EYeBUTr0,296026,False,59,65,1718754,62
Got To Be Real - Single Version,1wRHNlEjTmpaXv99BFAGnV,['Cheryl Lynn'],['6UfoTQXaV3DuqtDVjZIxwZ'],R&B: From Doo-Wop To Hip-Hop,4he7R24eqd1EbF9kegiAK8,222426,False,41,53,236799,69
Crazy Crazy Nights,3YSfGJNDtF8KrHlwCAaVns,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],Old Skool Of Rock,35LnYSwPbgGPQSXNTjpOO8,227600,False,64,72,8530500,0
Mi Gente,7epwpv5eX5E5rJLOKMBKS4,['Héctor Lavoe'],['7opp16lU7VM3l2WBdGMYHP'],Salsa One,5yu3gaEUhXzaCoBcRP3q2a,326880,False,57,64,1654422,0
Todo Tiene Su Final,3hYxKvnVNaA6aIlYCZBuRM,['Marc Anthony'],['4wLXwxDeWQ8mtUIRPxGiD6'],"Marc Anthony ""El Cantante"" OST",4MRdW6rlNSqpnCAZKGxqLC,295440,False,40,77,8877340,56
Meet In the Middle,7lUE02KHkZM44BZgjCaWRO,['Diamond Rio'],['0svyIX7Xu3DVMkrOtB88i6'],Diamond Rio,5zpRuHrOSBkOrop2DJvBcr,198333,False,69,56,890300,62
Tutti Frutti,2iXcvnD3d1gfLBum0cE5Eg,['Little Richard'],['4xls23Ye9WR9yy3yYMpAMm'],The Essential Little Richard (Remastered),4IxwByzyIrvhcy8VxG2zF0,144226,False,67,58,849972,0
New Year's Day,7DXNTiUCWJvomSGEGMr3H8,['Charlie Robison'],['1VGRi6hlsYcOhKut02Tqkt'],Good Times,43EHLGjXdFJ1N2myfujdTY,234240,False,59,45,80899,0
Scarecrow In The Garden,2heBToLEB7odACQ3xwb32A,['Chris Stapleton'],['4YLtscXsxbVgi031ovDDdh'],From A Room: Volume 2,24fkX2Gdqw4a6pR9BUYbE5,200213,False,69,78,5691321,73
Come A Little Closer,6yFD0TSZvxydqGxLNDjZUO,['Dierks Bentley'],['7x8nK0m0cP2ksQf0mjWdPS'],Modern Day Drifter,6ReptrLRzFQ07VxrsN3CZG,281973,False,56,70,3020159,53
Strawberry Wine,5Pgwi0iizu96RHxJ4xL3SH,['Deana Carter'],['0aqrM7Fo3Ml66Kc5JAzmjt'],Did I Shave My Legs For This?,3rVrwVrTgiFmCBZCmYBryn,291533,False,69,54,488197,64
To a T,7uEb5EauA2QnDcPQHYcxIF,['Ryan Hurd'],['7lDVEkjIURPMyUYwoQRrpw'],To a T,4AbT70Vdn1lAdKmpJxNKD5,178813,False,57,58,234935,0
Sweet Emotion,73TxYZd0lBCVRrHawrAglA,['Aerosmith'],['7Ey4PD4MYsKc5I2dolUwbH'],Toys In The Attic,36IxIOGEBAXVozDSiVs09B,274088,False,77,76,13482596,25
Knock On Wood,081prZUECLXcWgmg98FxDS,['Amii Stewart'],['7GPNaPWw3STF8NYp39pd8G'],Knock On Wood,7knNWrNpy0By8sLlgxnfki,250520,False,46,46,75812,38
Better Me,2g86T3zeI1mP5OZdAPenpx,['Montgomery Gentry'],['3bGXaFVQLASmDMdjjeJr8a'],Here's to You,1DbbwSRSTA18FiYGWaH25K,206677,False,29,58,1409271,0
Break Down Here,1xsGrsVJwG9zel8pefzVeo,['Julie Roberts'],['5sXhYkm9PpLn5R70U2T6Ba'],Julie Roberts,6KnZp9UWIWTP6XqANgXaTi,245493,False,55,39,150083,50
Ain't That A Shame,4ZfQwNx3FlCN07cnUvekh3,['Fats Domino'],['09C0xjtosNAIXP36wTnWxd'],The Best Of Fats Domino,0aJTqumjo0IA5saTW58Xzm,152200,False,60,56,491400,0
Mía,0F8OxO70j8WiDYshE99sJR,['Eddie Santiago'],['5Wg6XnPTp0xXxFCjywwR9I'],Serie 32 : Eddie Santiago,0bmXT2b5Rl5mddzk182Aoj,283120,False,43,66,1690259,41
Ligia Elena,38UKG3bIB4gT3EzQqE3eEm,"['Rubén Blades', 'Willie Colon Y Ruben Blades']","['5BwMgvRwlq61SmknvsVIQj', '3j2xUU9GSvJLBKhp7maKaO']",Anthology,1mJroViGaNhgmckqDiIfBU,364160,False,48,31,714648,0
Ella Menea,22HTExPWv7s5G06AzFFFpE,['NG2'],['4xTwV9bMJae4hJ5EGGW9Bj'],Con Todas Las De Ganar,6QyAWrgNFg1Y1cz3lCwHUh,269840,False,35,37,29668,29
Pa'l Bailador,3ZCANlHFDZ0mdDQotsKlxi,['Joe Arroyo Y La Verdad'],['3W6IjoTFGlacw3Mxbn9BsE'],Joe Arroyo - Greatest Hits,1824tVNCR4J0UtDeopauGk,270206,False,39,20,22139,0
Soy el Rey,2Vo5TEwtWbbCdCG5K1hLGz,['Sonora Carruseles'],['34qU0b0yRjEzRJtknerEDS'],Discos Fuentes Sonora Carruseles Collection,25NXIuQ6ZH2Unp37FslxG0,222706,False,20,45,171231,0
Burning Love,7zMUCLm1TN9o9JlLISztxO,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],Elvis 75 - Good Rockin' Tonight,34EYk8vvJHCUlNrpGxepea,170293,False,75,78,8288284,0
Texas Tornado,392COIitLMUIOwLDEq7Yh7,['Tracy Lawrence'],['2BQVRw9md4UKcGUrDXABCD'],I See It Now,58OXNbpZDhQjWTv51DKpux,204933,False,54,58,1025145,52
